501
95 一种新型可钢化双银低辐射节能玻璃 张开欣;李建根;黄成龙;徐伯永;邓军;李勇 四川南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-04-14 2018-11-02  收藏 CN108728806A
96 光伏电站发电和厂区用电比例的预测方法 陈志穗;定明辉;余树红;石建伟;刘兵;沈大鹏;饶志峰 中国南玻集团股份有限公司;深圳南玻光伏能源有限公司 中国专利 2017-09-08 2018-11-02  收藏 CN108736510A
97 一种适用于平面靶磁铁场强测量的定位装置 吴壮;张青涛;解孝辉 吴江南玻华东工程玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-04-28 2018-10-26  收藏 CN208013398U
98 色调调节剂、铝硅酸盐玻璃及其制备方法 何浩波;肖子凡;邓臻禄;戴斌 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-03-31 2018-10-16  收藏 CN108658452A
99 一种防止玻璃倾倒的放置架 夏林刚;徐林;李建根 四川南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-02-01 2018-10-02  收藏 CN207932637U
100 一种用于切片机的储线装置及布线方法 李钊;朱敏;梁学勤;李宏;张军 宜昌南玻硅材料有限公司;中国南玻集团股份有限公司 中国专利 2018-06-21 2018-09-28  收藏 CN108582530A
501
101 一种生产中空玻璃的方法 熊伟;张开欣;徐伯永;邓云军;李建根 四川南玻节能玻璃有限公司;中国南玻集团股份有限公司 中国专利 2017-03-09 2018-09-25  收藏 CN108569839A
102 可调平面阴极机构及真空镀膜装置 陈海峰;梁忠;霍启科 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-03-08 2018-09-25  收藏 CN108570648A
103 取出器 贺杰锋;杨玉梅;王刚;翟树友;武林雨;王长军 河北南玻玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-05-31 2018-09-21  收藏 CN108555829A
104 一种玻璃落板控制方法、系统、存储介质和玻璃生产设备 王刚;贺杰锋;杨尚文;刘嘉华;刘卫春;武林雨;王长军 河北南玻玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-05-18 2018-09-14  收藏 CN108529868A
105 可离子交换的玻璃及其制备方法 何浩波;刘建党;肖子凡;邓臻禄;戴斌;刘攀 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2018-03-30 2018-09-14  收藏 CN108529873A
106 一种降低玻璃化学强化中产生翘曲的方法及强化用治具 蔡礼貌;李聚锋;韩正伟;龚瑞龙;其他发明人请求不公开姓名 河北视窗玻璃有限公司;中国南玻集团股份有限公司 中国专利 2018-05-23 2018-09-11  收藏 CN108516702A
107 铝硅酸盐玻璃及强化玻璃 平文亮;周翔磊;王明忠;刘红刚;樊颖 中国南玻集团股份有限公司;清远南玻节能新材料有限公司 中国专利 2017-02-23 2018-09-07  收藏 CN108503213A
108 玻璃上片装置 韩全寿;周锐;叶传胜;朱国新 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-02-27 2018-09-07  收藏 CN108502541A
109 光伏玻璃 龚强;周泓崑;余树红;刘沛涛;许武毅 中国南玻集团股份有限公司;深圳南玻应用技术有限公司 中国专利 2017-02-23 2018-09-07  收藏 CN108511545A
